Sub-Sub-Title,Sub-Title,Team,bandera,bullet_id,commentId,country,fecha,formatted,id,source_file
,,x countries,Otra,68e3a519e889859f458a624c_3,68e3a519e889859f458a624c,CORP,2025-Q4,mafalda: avances sobre la v1,68e3a519e889859f458a624c_3,68e3a519e889859f458a624c.json
,,x countries,Otra,68ecf3a417b1dede81f8af7b_3,68ecf3a417b1dede81f8af7b,CORP,2025-Q4,cpc adoption leader,68ecf3a417b1dede81f8af7b_3,68ecf3a417b1dede81f8af7b.json
,,x countries,Otra,68ecf3a417b1dede81f8af7b_2,68ecf3a417b1dede81f8af7b,CORP,2025-Q4,mafalda - voice si es posible + demo,68ecf3a417b1dede81f8af7b_2,68ecf3a417b1dede81f8af7b.json
,,x countries,Otra,68ecf3a417b1dede81f8af7b_1,68ecf3a417b1dede81f8af7b,CORP,2025-Q4,tte - cerrar pedido equipo,68ecf3a417b1dede81f8af7b_1,68ecf3a417b1dede81f8af7b.json
,,x countries,Otra,68f628d3e84d26e754017973_3,68f628d3e84d26e754017973,CORP,2025-Q4,cpc ia,68f628d3e84d26e754017973_3,68f628d3e84d26e754017973.json
,,x countries,Otra,68f628d3e84d26e754017973_2,68f628d3e84d26e754017973,CORP,2025-Q4,mafalda fup,68f628d3e84d26e754017973_2,68f628d3e84d26e754017973.json
,,x countries,Otra,68f628d3e84d26e754017973_1,68f628d3e84d26e754017973,CORP,2025-Q4,tte monthly,68f628d3e84d26e754017973_1,68f628d3e84d26e754017973.json
,mafalda,x countries,Otra,68ff6d74d31cfb04186b517f_2,68ff6d74d31cfb04186b517f,CORP,2025-Q4,problem solving para evitar el problema,68ff6d74d31cfb04186b517f_2,68ff6d74d31cfb04186b517f.json
,tte,x countries,Otra,68ff6d74d31cfb04186b517f_1,68ff6d74d31cfb04186b517f,CORP,2025-Q4,armado de material para el ws,68ff6d74d31cfb04186b517f_1,68ff6d74d31cfb04186b517f.json
,mafalda,x countries,Otra,6908945a15ba19bd2deb7d5f_3,6908945a15ba19bd2deb7d5f,CORP,2025-Q4,fup,6908945a15ba19bd2deb7d5f_3,6908945a15ba19bd2deb7d5f.json
,cpc ia,x countries,Otra,6908945a15ba19bd2deb7d5f_2,6908945a15ba19bd2deb7d5f,CORP,2025-Q4,biweekly,6908945a15ba19bd2deb7d5f_2,6908945a15ba19bd2deb7d5f.json
,tte,x countries,Otra,6908945a15ba19bd2deb7d5f_1,6908945a15ba19bd2deb7d5f,CORP,2025-Q4,fcst de impacto,6908945a15ba19bd2deb7d5f_1,6908945a15ba19bd2deb7d5f.json
,,x countries,Otra,6911deb5fa44268627b15a22_1,6911deb5fa44268627b15a22,CORP,2025-Q4,tte workshop attestation,6911deb5fa44268627b15a22_1,6911deb5fa44268627b15a22.json
,,x countries,Otra,6911deb5fa44268627b15a22_4,6911deb5fa44268627b15a22,CORP,2025-Q4,cpc ia disponible con lucasgameiroraphael,6911deb5fa44268627b15a22_4,6911deb5fa44268627b15a22.json
,,x countries,Otra,6911deb5fa44268627b15a22_2,6911deb5fa44268627b15a22,CORP,2025-Q4,mafalda fine tunning,6911deb5fa44268627b15a22_2,6911deb5fa44268627b15a22.json
,,x countries,Otra,6911deb5fa44268627b15a22_3,6911deb5fa44268627b15a22,CORP,2025-Q4,reglab,6911deb5fa44268627b15a22_3,6911deb5fa44268627b15a22.json
,tte,x countries,Otra,691b0a4f866b69658d280228_1,691b0a4f866b69658d280228,CORP,2025-Q4,fup plan attestation,691b0a4f866b69658d280228_1,691b0a4f866b69658d280228.json
